320
1 43 45 
43 13 44 
45 44 15 
45 43 44 
13 46 48 
46 3 47 
48 47 14 
48 46 47 
15 49 51 
49 14 50 
51 50 2 
51 49 50 
15 44 49 
44 13 48 
49 48 14 
49 44 48 
1 52 43 
52 16 53 
43 53 13 
43 52 53 
16 54 56 
54 4 55 
56 55 17 
56 54 55 
13 57 46 
57 17 58 
46 58 3 
46 57 58 
13 53 57 
53 16 56 
57 56 17 
57 53 56 
1 59 52 
59 18 60 
52 60 16 
52 59 60 
18 61 63 
61 5 62 
63 62 19 
63 61 62 
16 64 54 
64 19 65 
54 65 4 
54 64 65 
16 60 64 
60 18 63 
64 63 19 
64 60 63 
1 66 59 
66 20 67 
59 67 18 
59 66 67 
20 68 70 
68 6 69 
70 69 21 
70 68 69 
18 71 61 
71 21 72 
61 72 5 
61 71 72 
18 67 71 
67 20 70 
71 70 21 
71 67 70 
1 45 66 
45 15 73 
66 73 20 
66 45 73 
15 51 75 
51 2 74 
75 74 22 
75 51 74 
20 76 68 
76 22 77 
68 77 6 
68 76 77 
20 73 76 
73 15 75 
76 75 22 
76 73 75 
2 50 79 
50 14 78 
79 78 24 
79 50 78 
14 47 81 
47 3 80 
81 80 23 
81 47 80 
24 82 84 
82 23 83 
84 83 8 
84 82 83 
24 78 82 
78 14 81 
82 81 23 
82 78 81 
3 58 86 
58 17 85 
86 85 26 
86 58 85 
17 55 88 
55 4 87 
88 87 25 
88 55 87 
26 89 91 
89 25 90 
91 90 9 
91 89 90 
26 85 89 
85 17 88 
89 88 25 
89 85 88 
4 65 93 
65 19 92 
93 92 28 
93 65 92 
19 62 95 
62 5 94 
95 94 27 
95 62 94 
28 96 98 
96 27 97 
98 97 10 
98 96 97 
28 92 96 
92 19 95 
96 95 27 
96 92 95 
5 72 100 
72 21 99 
100 99 30 
100 72 99 
21 69 102 
69 6 101 
102 101 29 
102 69 101 
30 103 105 
103 29 104 
105 104 11 
105 103 104 
30 99 103 
99 21 102 
103 102 29 
103 99 102 
6 77 107 
77 22 106 
107 106 32 
107 77 106 
22 74 109 
74 2 108 
109 108 31 
109 74 108 
32 110 112 
110 31 111 
112 111 7 
112 110 111 
32 106 110 
106 22 109 
110 109 31 
110 106 109 
2 79 108 
79 24 113 
108 113 31 
108 79 113 
24 84 115 
84 8 114 
115 114 33 
115 84 114 
31 116 111 
116 33 117 
111 117 7 
111 116 117 
31 113 116 
113 24 115 
116 115 33 
116 113 115 
3 86 80 
86 26 118 
80 118 23 
80 86 118 
26 91 120 
91 9 119 
120 119 34 
120 91 119 
23 121 83 
121 34 122 
83 122 8 
83 121 122 
23 118 121 
118 26 120 
121 120 34 
121 118 120 
4 93 87 
93 28 123 
87 123 25 
87 93 123 
28 98 125 
98 10 124 
125 124 35 
125 98 124 
25 126 90 
126 35 127 
90 127 9 
90 126 127 
25 123 126 
123 28 125 
126 125 35 
126 123 125 
5 100 94 
100 30 128 
94 128 27 
94 100 128 
30 105 130 
105 11 129 
130 129 36 
130 105 129 
27 131 97 
131 36 132 
97 132 10 
97 131 132 
27 128 131 
128 30 130 
131 130 36 
131 128 130 
6 107 101 
107 32 133 
101 133 29 
101 107 133 
32 112 135 
112 7 134 
135 134 37 
135 112 134 
29 136 104 
136 37 137 
104 137 11 
104 136 137 
29 133 136 
133 32 135 
136 135 37 
136 133 135 
7 117 139 
117 33 138 
139 138 39 
139 117 138 
33 114 141 
114 8 140 
141 140 38 
141 114 140 
39 142 144 
142 38 143 
144 143 12 
144 142 143 
39 138 142 
138 33 141 
142 141 38 
142 138 141 
8 122 140 
122 34 145 
140 145 38 
140 122 145 
34 119 147 
119 9 146 
147 146 40 
147 119 146 
38 148 143 
148 40 149 
143 149 12 
143 148 149 
38 145 148 
145 34 147 
148 147 40 
148 145 147 
9 127 146 
127 35 150 
146 150 40 
146 127 150 
35 124 152 
124 10 151 
152 151 41 
152 124 151 
40 153 149 
153 41 154 
149 154 12 
149 153 154 
40 150 153 
150 35 152 
153 152 41 
153 150 152 
10 132 151 
132 36 155 
151 155 41 
151 132 155 
36 129 157 
129 11 156 
157 156 42 
157 129 156 
41 158 154 
158 42 159 
154 159 12 
154 158 159 
41 155 158 
155 36 157 
158 157 42 
158 155 157 
11 137 156 
137 37 160 
156 160 42 
156 137 160 
37 134 161 
134 7 139 
161 139 39 
161 134 139 
42 162 159 
162 39 144 
159 144 12 
159 162 144 
42 160 162 
160 37 161 
162 161 39 
162 160 161 
