         1732
         280         233         119
         159          39         139
         180          90          91
         188          94         182
         156          33         133
         215          47         141
         138          23          24
         252         137         159
         158         152           4
         139          39          40
         208          11         151
         135          35          36
         124           2           3
         125          31          32
         153           9          10
         161          17         146
         137          37          38
         217          15         148
         218          31         125
         131          28         129
         147          37         137
         148          15          16
         216         120          42
         144          19          20
         141          47          48
         142          21          22
         119          45          46
         244         135         147
         120          41          42
         130          12          13
         150         130          13
         286         186         100
         133          33          34
         283         157         124
         348         157         283
         220         124         152
         140          22          23
         152           3           4
         153         126           9
         238         138         136
         285         230         259
         164          19         144
         150          13          14
         222         139         145
         131          27          28
         146          17          18
         234         207         224
         205          48          49
         225         209         212
         151          11          12
         280         119         215
         126           8           9
         173          62          63
         274         162         232
         183         122          92
         174          78          79
         204          68          69
         190         178          87
         263         168         184
         197          73          74
         170          60          61
         189          86         178
         195          75          76
         176          82          83
         122          91          92
         227         179         189
         184          98         171
         168          96          97
         171          98          99
         261         182         185
         347         186         286
         187          90         180
         185          96         168
         178          86          87
         286         100         284
         229         185         168
         180          91         122
         183          92          93
         194         174          79
         265         179         227
         269         197         198
         361         336         335
         211          60         170
         214         170          61
         172          64          65
         172          65         121
         175          66          67
         175         121          66
         199          71          72
         204         169          68
         203          55         167
         196          77         193
         134          25          26
         165         162          50
         210          56          57
         152         124           3
         121          65          66
         163          53          54
         169          67          68
         175          67         169
         191          82         176
         200          73         197
         925         112         906
         925         111         112
         924         101         102
         924         919         101
         918         906         113
         918         902         906
         922         116         908
         922         115         116
         921         912         107
         921         896         912
         920         117         118
         920         914         117
         924         909         919
         924         102         913
         114         922         910
         923         915         921
         917         116         117
         917         908         116
         916         907         110
         916         898         907
         915         881         896
         915         894         881
         914         886         903
         914         911         886
         913         102         103
         924         913         909
         923         921         108
         922         908         897
         923         907         894
         907         888         894
         918         114         910
         922         897         910
         913         899         909
         919         909         884
         918         910         902
         922         114         115
         923         109         110
         907         898         888
         906         112         113
         912         901         106
         905         103         104
         905         900         103
         921         915         896
         894         893         881
         917         914         903
         920         101         919
         902         873         883
         902         889         873
         901         882         870
         901         896         882
         913         900         899
         913         103         900
         899         874         887
         899         885         874
         923         110         907
         905         891         900
         910         889         902
         906         883         895
         912         896         901
         901         892         106
         898         895         880
         895         883         880
         921         107         108
         920         911         914
         925         916         111
         893         876         881
         904         868         891
         892         870         868
         911         884         886
         920         118         101
         903         886         867
         886         884         878
         906         902         883
         910         897         889
         893         879         876
         893         888         872
         909         899         887
         920         919         911
         900         891         885
         886         878         869
         885         854         874
         885         864         854
         886         869         867
         890         867         856
         918         113         114
         916         895         898
         892         105         106
         894         888         893
         882         881         871
         881         876         871
         880         853         866
         880         865         853
         879         872         860
         893         872         879
         878         861         855
         878         877         861
         877         845         861
         204          69         201
         877         858         845
         207          53         163
         123          45         119
         284         100         128
         879         842         863
         287         229         263
         879         863         876
         201          69          70
         908         903         890
         917         117         914
         904         105         892
         210         167          56
         891         864         885
         267         194         177
         873         851         865
         162          49          50
         873         862         851
         128         100           1
         917         903         908
         882         859         870
         871         844         859
         123          44          45
         871         857         844
         205          49         162
         901         870         892
         232         162         165
         923         108         109
         149          35         135
         897         890         875
         903         867         890
         887         858         877
         155           8         126
         104         105         904
         157           2         124
         890         856         875
         889         862         873
         888         866         872
         866         853         839
         145          41         120
         252         244         137
         143          44         123
         241         123         233
         165          50          51
         345         317         223
         269         198         268
         192         176          83
         143          43          44
         216          42          43
         166         154           6
         283         124         220
         236         131         129
         127          29          30
         129          29         127
         166           7         155
         129          28          29
         160          21         142
         256         250         154
         221         126         153
         245         150         217
         240         160         142
         132          27         131
         151          12         130
         132          26          27
         136          24          25
         236         127         219
         134          26         132
         156          32          33
         156         125          32
         312         247         245
         136          25         134
         149          34          35
         149         133          34
         248         151         247
         138          24         136
         147          36          37
         147         135          36
         249         125         156
         140          23         138
         159          38          39
         159         137          38
         403         220         295
         142          22         140
         215          46          47
         215         119          46
         253         141         205
         281         216         143
         222         159         139
         216          43         143
         252         159         222
         246         149         135
         145         139          40
         145          40          41
         249         219         125
         281         143         241
         221         153         248
         239         140         138
         249         156         133
         240         142         239
         219         127         218
         238         134         237
         237         134         132
         246         135         244
         247         130         150
         248         153         208
         158           5         154
         236         129         127
         245         148         243
         242         144         240
         158           4           5
         154           5           6
         166           6           7
         155           7           8
         237         132         131
         240         144         160
         157         128           1
         157           1           2
         327         264         326
         346         284         128
         243         146         242
         321         255         314
         160         144          20
         160          20          21
         161         148          16
         161          16          17
         205         141          48
         254         206         234
         203          54          55
         301         224         296
         164         146          18
         164          18          19
         275         209         225
         258         173         213
         239         138         238
         238         136         134
         203         163          54
         167          55          56
         182          94          95
         326         264         260
         193          78         174
         202          71         199
         209          57          58
         210          57         209
         184          97          98
         184         168          97
         213          64         172
         214          61          62
         259         121         175
         214          62         173
         193          77          78
         198          75         195
         259         230         121
         231         214         278
         177          80          81
         194          79          80
         268         196         266
         194          80         177
         179          84          85
         192          83          84
         268         198         195
         192          84         179
         181          88          89
         190          87          88
         235         177         191
         190          88         181
         349         171         186
         324         262         323
         230         172         121
         273         259         169
         325         228         324
         257         183         188
         185         182          95
         185          95          96
         186         171          99
         186          99         100
         187         181          89
         187          89          90
         188         183          93
         188          93          94
         189         179          85
         189          85          86
         270         199         200
         265         176         192
         191         177          81
         191          81          82
         273         169         204
         266         193         174
         228         180         122
         292         184         171
         267         174         194
         270         202         199
         261         185         229
         264         178         190
         196         195          76
         196          76          77
         227         189         178
         262         228         122
         198         197          74
         198          74          75
         268         195         196
         230         213         172
         200         199          72
         200          72          73
         258         213         230
         277         212         211
         202         201          70
         202          70          71
         276         272         167
         342         253         293
         266         196         193
         271         201         202
         306         281         241
         254         165         206
         206         165          51
         206          51          52
         207         206          52
         207          52          53
         208         153          10
         208          10          11
         212          59         211
         212          58          59
         226         224         163
         226         163         203
         212         209          58
         211          59          60
         276         210         275
         331         266         267
         213         173          63
         213          63          64
         259         175         169
         235         191         176
         345         282         281
         279         141         253
         282         223         120
         233         123         119
         217         150          14
         217          14          15
         218         127          30
         218          30          31
         237         131         236
         244         147         137
         289         295         251
         251         152         158
         250         158         154
         221         155         126
         267         177         235
         246         133         149
         403         283         220
         223         145         120
         224         207         163
         362         354         285
         277         225         212
         231         170         214
         300         232         254
         338         276         294
         265         235         176
         263         229         168
         228         187         180
         264         190         260
         257         188         182
         260         181         187
         341         278         299
         296         224         226
         278         173         258
         231         277         211
         345         223         282
         350         297         338
         241         143         123
         282         120         216
         254         232         165
         234         206         207
         219         218         125
         249         133         246
