1990 1982 1980 1212 1213 1216 0 3205
1988 1983 1981 1214 1215 1218 0 3207
1988 1986 1984 1222 1220 1218 0 3212
1989 1987 1985 1223 1221 1219 0 3213
2206 2198 2196 1272 1273 1276 0 3313
2204 2199 2197 1274 1275 1278 0 3315
2204 2202 2200 1282 1280 1278 0 3320
2205 2203 2201 1283 1281 1279 0 3321
2378 2386 2387 2412 2414 2422 0 4790
2378 2384 2385 2413 2415 2420 0 4791
2379 2382 2383 2416 2418 2420 0 4794
2377 2380 2381 2417 2419 2421 0 4795
2596 2593 2592 1788 1790 1798 0 4130
2598 2595 2594 1789 1791 1796 0 4131
2598 2600 2602 1792 1794 1796 0 4134
2599 2601 2603 1793 1795 1797 0 4135
3136 3133 3132 3480 3482 3490 0 6566
3138 3135 3134 3481 3483 3488 0 6567
3138 3140 3142 3484 3486 3488 0 6570
3139 3141 3143 3485 3487 3489 0 6571
3562 3554 3552 3540 3541 3544 0 6805
3560 3555 3553 3542 3543 3546 0 6807
3560 3558 3556 3550 3548 3546 0 6812
3561 3559 3557 3551 3549 3547 0 6813
3597 3595 3593 3749 3748 3745 0 7036
3596 3594 3592 3751 3750 3747 0 7038
3596 3591 3589 3753 3752 3747 0 7040
3598 3590 3588 3755 3754 3746 0 7042
3952 3949 3948 4548 4550 4558 0 8510
3954 3951 3950 4549 4551 4556 0 8511
3954 3956 3958 4552 4554 4556 0 8514
3955 3957 3959 4553 4555 4557 0 8515
4022 4030 4031 5208 5210 5218 0 9410
4022 4028 4029 5209 5211 5216 0 9411
4023 4026 4027 5212 5214 5216 0 9414
4021 4024 4025 5213 5215 5217 0 9415
4113 4111 4109 4877 4876 4873 0 8992
4112 4110 4108 4879 4878 4875 0 8994
4112 4107 4105 4881 4880 4875 0 8996
4114 4106 4104 4883 4882 4874 0 8998
4126 4118 4116 5520 5521 5524 0 10105
4124 4119 4117 5522 5523 5526 0 10107
4124 4122 4120 5530 5528 5526 0 10112
4125 4123 4121 5531 5529 5527 0 10113
4618 4610 4608 6840 6841 6844 0 12253
4616 4611 4609 6842 6843 6846 0 12255
4616 4614 4612 6850 6848 6846 0 12260
4617 4615 4613 6851 6849 6847 0 12261
4622 4630 4631 5232 5234 5242 0 9434
4622 4628 4629 5233 5235 5240 0 9435
4623 4626 4627 5236 5238 5240 0 9438
4621 4624 4625 5237 5239 5241 0 9439
4978 4970 4968 7452 7453 7456 0 13285
4976 4971 4969 7454 7455 7458 0 13287
4976 4974 4972 7462 7460 7458 0 13292
4977 4975 4973 7463 7461 7459 0 13293
5054 5062 5063 7620 7622 7630 0 13550
5054 5060 5061 7621 7623 7628 0 13551
5055 5058 5059 7624 7626 7628 0 13554
5053 5056 5057 7625 7627 7629 0 13555
5486 5494 5495 7128 7130 7138 0 12722
5486 5492 5493 7129 7131 7136 0 12723
5487 5490 5491 7132 7134 7136 0 12726
5485 5488 5489 7133 7135 7137 0 12727
5498 5506 5507 4632 4634 4642 0 8654
5498 5504 5505 4633 4635 4640 0 8655
5499 5502 5503 4636 4638 4640 0 8658
5497 5500 5501 4637 4639 4641 0 8659
6073 6076 6077 7836 7837 7840 0 13933
6075 6078 6079 7838 7839 7842 0 13935
6075 6080 6081 7846 7844 7842 0 13940
6074 6082 6083 7847 7845 7843 0 13941
6350 6358 6359 9072 9074 9082 0 16178
6350 6356 6357 9073 9075 9080 0 16179
6351 6354 6355 9076 9078 9080 0 16182
6349 6352 6353 9077 9079 9081 0 16183
6362 6370 6371 8232 8234 8242 0 14594
6362 6368 6369 8233 8235 8240 0 14595
6363 6366 6367 8236 8238 8240 0 14598
6361 6364 6365 8237 8239 8241 0 14599
6577 6580 6581 8400 8401 8404 0 14917
6579 6582 6583 8402 8403 8406 0 14919
6579 6584 6585 8410 8408 8406 0 14924
6578 6586 6587 8411 8409 8407 0 14925
6877 6880 6881 7548 7549 7552 0 13441
6879 6882 6883 7550 7551 7554 0 13443
6879 6884 6885 7558 7556 7554 0 13448
6878 6886 6887 7559 7557 7555 0 13449
7216 7213 7212 9168 9170 9178 0 16346
7218 7215 7214 9169 9171 9176 0 16347
7218 7220 7222 9172 9174 9176 0 16350
7219 7221 7223 9173 9175 9177 0 16351
7426 7418 7416 9504 9505 9508 0 16921
7424 7419 7417 9506 9507 9510 0 16923
7424 7422 7420 9514 9512 9510 0 16928
7425 7423 7421 9515 9513 9511 0 16929
7742 7750 7751 9756 9758 9766 0 17474
7742 7748 7749 9757 9759 9764 0 17475
7743 7746 7747 9760 9762 9764 0 17478
7741 7744 7745 9761 9763 9765 0 17479
7809 7807 7805 10061 10060 10057 0 18196
7808 7806 7804 10063 10062 10059 0 18198
7808 7803 7801 10065 10064 10059 0 18200
7810 7802 7800 10067 10066 10058 0 18202
8126 8134 8135 9780 9782 9790 0 17522
8126 8132 8133 9781 9783 9788 0 17523
8127 8130 8131 9784 9786 9788 0 17526
8125 8128 8129 9785 9787 9789 0 17527
8414 8422 8423 10200 10202 10210 0 18614
8414 8420 8421 10201 10203 10208 0 18615
8415 8418 8419 10204 10206 10208 0 18618
8413 8416 8417 10205 10207 10209 0 18619
8734 8726 8724 10380 10381 10384 0 19957
8732 8727 8725 10382 10383 10386 0 19959
8732 8730 8728 10390 10388 10386 0 19964
8733 8731 8729 10391 10389 10387 0 19965
9290 9298 9299 9972 9974 9982 0 17966
9290 9296 9297 9973 9975 9980 0 17967
9291 9294 9295 9976 9978 9980 0 17970
9289 9292 9293 9977 9979 9981 0 17971
9674 9682 9683 10356 10358 10366 0 19718
9674 9680 9681 10357 10359 10364 0 19719
9675 9678 9679 10360 10362 10364 0 19722
9673 9676 9677 10361 10363 10365 0 19723
9710 9718 9719 10368 10370 10378 0 19946
9710 9716 9717 10369 10371 10376 0 19947
9711 9714 9715 10372 10374 10376 0 19950
9709 9712 9713 10373 10375 10377 0 19951
