         866
          1       280       233       119
          2       159        39       139
          5       156        33       133
          6       215        47       141
          8       252       137       159
         10       139        39        40
         12       135        35        36
         17       137        37        38
         21       147        37       137
         23       216       120        42
         25       141        47        48
         27       119        45        46
         28       244       135       147
         29       120        41        42
         33       133        33        34
         44       222       139       145
         47       234       207       224
         48       205        48        49
         49       225       209       212
         51       280       119       215
         53       173        62        63
         54       274       162       232
         61       170        60        61
         83       211        60       170
         84       214       170        61
         91       203        55       167
         94       165       162        50
         95       210        56        57
         98       163        53        54
        103       925       112       906
        104       925       111       112
        105       924       101       102
        106       924       919       101
        107       918       906       113
        108       918       902       906
        109       922       116       908
        110       922       115       116
        111       921       912       107
        112       921       896       912
        113       920       117       118
        114       920       914       117
        115       924       909       919
        116       924       102       913
        117       114       922       910
        118       923       915       921
        119       917       116       117
        120       917       908       116
        121       916       907       110
        122       916       898       907
        123       915       881       896
        124       915       894       881
        125       914       886       903
        126       914       911       886
        127       913       102       103
        128       924       913       909
        129       923       921       108
        130       922       908       897
        131       923       907       894
        132       907       888       894
        133       918       114       910
        134       922       897       910
        135       913       899       909
        136       919       909       884
        137       918       910       902
        138       922       114       115
        139       923       109       110
        140       907       898       888
        141       906       112       113
        142       912       901       106
        143       905       103       104
        144       905       900       103
        145       921       915       896
        146       894       893       881
        147       917       914       903
        148       920       101       919
        149       902       873       883
        150       902       889       873
        151       901       882       870
        152       901       896       882
        153       913       900       899
        154       913       103       900
        155       899       874       887
        156       899       885       874
        157       923       110       907
        158       905       891       900
        159       910       889       902
        160       906       883       895
        161       912       896       901
        162       901       892       106
        163       898       895       880
        164       895       883       880
        165       921       107       108
        166       920       911       914
        167       925       916       111
        168       893       876       881
        169       904       868       891
        170       892       870       868
        171       911       884       886
        172       920       118       101
        173       903       886       867
        174       886       884       878
        175       906       902       883
        176       910       897       889
        177       893       879       876
        178       893       888       872
        179       909       899       887
        180       920       919       911
        181       900       891       885
        182       886       878       869
        183       885       854       874
        184       885       864       854
        185       886       869       867
        186       890       867       856
        187       918       113       114
        188       916       895       898
        189       892       105       106
        190       894       888       893
        191       882       881       871
        192       881       876       871
        193       880       853       866
        194       880       865       853
        195       879       872       860
        196       893       872       879
        197       878       861       855
        198       878       877       861
        199       877       845       861
        201       877       858       845
        202       207        53       163
        203       123        45       119
        205       879       842       863
        207       879       863       876
        209       908       903       890
        210       917       117       914
        211       904       105       892
        212       210       167        56
        213       891       864       885
        215       873       851       865
        216       162        49        50
        217       873       862       851
        219       917       903       908
        220       882       859       870
        221       871       844       859
        222       123        44        45
        223       871       857       844
        224       205        49       162
        225       901       870       892
        226       232       162       165
        227       923       108       109
        228       149        35       135
        229       897       890       875
        230       903       867       890
        231       887       858       877
        233       104       105       904
        235       890       856       875
        236       889       862       873
        237       888       866       872
        238       866       853       839
        239       145        41       120
        240       252       244       137
        241       143        44       123
        242       241       123       233
        243       165        50        51
        244       345       317       223
        247       143        43        44
        248       216        42        43
        267       156        32        33
        271       149        34        35
        272       149       133        34
        275       147        36        37
        276       147       135        36
        279       159        38        39
        280       159       137        38
        283       215        46        47
        284       215       119        46
        285       253       141       205
        286       281       216       143
        287       222       159       139
        288       216        43       143
        289       252       159       222
        290       246       149       135
        291       145       139        40
        292       145        40        41
        294       281       143       241
        297       249       156       133
        302       246       135       244
        325       205       141        48
        326       254       206       234
        327       203        54        55
        328       301       224       296
        331       275       209       225
        332       258       173       213
        335       203       163        54
        336       167        55        56
        341       209        57        58
        342       210        57       209
        346       214        61        62
        348       214        62       173
        352       231       214       278
        403       258       213       230
        404       277       212       211
        407       276       272       167
        408       342       253       293
        411       306       281       241
        412       254       165       206
        413       206       165        51
        414       206        51        52
        415       207       206        52
        416       207        52        53
        419       212        59       211
        420       212        58        59
        421       226       224       163
        422       226       163       203
        423       212       209        58
        424       211        59        60
        425       276       210       275
        427       213       173        63
        428       213        63        64
        431       345       282       281
        432       279       141       253
        433       282       223       120
        434       233       123       119
        440       244       147       137
        446       246       133       149
        448       223       145       120
        449       224       207       163
        451       277       225       212
        452       231       170       214
        453       300       232       254
        454       338       276       294
        461       341       278       299
        462       296       224       226
        463       278       173       258
        464       231       277       211
        465       345       223       282
        466       350       297       338
        467       241       143       123
        468       282       120       216
        469       254       232       165
        470       234       206       207
        472       249       133       246
        480       345       281       306
        486       222       145       223
        493       315       246       310
        503       343       280       279
        504       343       279       342
        505       319       244       252
        506       399       342       352
        507       279       215       141
        508       280       215       279
        509       315       249       246
        510       293       274       288
        517       278       214       173
        518       231       211       170
        540       272       203       167
        543       272       226       203
        545       338       297       272
        547       338       272       276
        549       274       253       205
        550       274       205       162
        551       276       167       210
        552       275       210       209
        553       298       258       230
        557       294       276       275
        559       485       442       448
        560       428       376       378
        561       379       355       320
        562       293       253       274
        563       306       233       344
        564       282       216       281
        565       310       246       244
        566       317       222       223
        567       342       279       253
        577       288       274       232
        578       300       288       232
        588       398       344       343
        589       396       350       338
        590       294       275       225
        593       357       301       296
        594       357       296       297
        595       297       296       226
        596       297       226       272
        597       299       258       298
        598       299       278       258
        599       353       341       299
        600       339       277       231
        601       320       234       301
        602       320       254       234
        603       320       300       254
        604       301       234       224
        613       306       241       233
        614       344       233       280
        615       373       315       310
        617       407       398       399
        619       374       315       373
        621       318       222       317
        622       318       252       222
        632       316       249       315
        635       378       318       377
        636       319       252       318
        637       426       374       373
        638       319       310       244
        639       402       377       317
        640       408       373       376
        642       442       397       409
        669       441       409       395
        671       397       340       339
        675       353       299       298
        676       379       320       301
        677       355       300       320
        678       357       297       350
        679       340       277       339
        680       340       225       277
        681       395       339       341
        682       340       294       225
        683       341       339       231
        684       341       231       278
        685       402       317       345
        686       344       280       343
        687       526       484       455
        688       356       300       355
        689       443       417       350
        690       377       318       317
        691       401       345       306
        692       400       344       398
        701       396       338       294
        702       397       339       395
        705       352       342       293
        706       492       441       484
        708       395       341       353
        709       354       353       298
        711       356       288       300
        712       360       293       288
        713       360       352       293
        714       360       288       356
        721       412       355       379
        723       441       354       418
        724       379       301       357
        729       428       378       377
        730       447       377       402
        731       444       398       407
        733       426       373       408
        735       488       445       487
        747       374       316       315
        752       471       426       453
        753       376       373       310
        754       376       310       319
        755       378       319       318
        756       378       376       319
        759       429       357       417
        760       444       400       398
        788       498       473       486
        789       441       353       354
        792       429       412       379
        793       443       396       442
        794       527       485       496
        795       397       396       294
        796       397       294       340
        797       400       306       344
        798       401       306       400
        799       399       398       343
        800       399       343       342
        801       446       401       445
        802       428       408       376
        803       447       402       446
        804       402       345       401
        805       569       565       568
        815       416       356       355
        816       416       360       356
        817       474       429       473
        819       409       397       395
        820       441       395       353
